
CHOLESKY Results for,-,-,-,-
matrix size,1024x1024
block size,16x16
number of threads,8
 , seq, par_for, task, task_dep
Time (s), 0.023832,0.023098,0.022143,0.187585
Performance (gflops), 15.018225,15.495690,16.163884,1.908013
-, -, -, -, -

CHOLESKY Results for,-,-,-,-
matrix size,2048x2048
block size,16x16
number of threads,8
 , seq, par_for, task, task_dep
Time (s), 0.156443,0.169082,0.144627,0.884644
Performance (gflops), 18.302594,16.934452,19.797860,3.236683
-, -, -, -, -
